Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-03-10,44.283957118357705,44.311025551804136,43.55310941530412,44.229820251464844,5232000,0.0,0.0
1999-03-11,44.55466202841607,44.81181226491057,43.58019797433163,44.446388244628906,9688600,0.0,0.0
1999-03-12,44.28396676929107,44.3110352086366,43.01175012005105,43.36363983154297,8743600,0.0,0.0
1999-03-15,43.688464345283876,44.66292823402627,43.22830084226664,44.60879135131836,6369000,0.0,0.0
1999-03-16,44.79827571001294,45.17723393354175,44.31104370833304,44.987754821777344,4905800,0.0,0.0
1999-03-17,44.987739313299,45.04187618371212,44.527575914787526,44.66291809082031,3965000,0.0,0.0
1999-03-18,44.60879059382199,45.55618602512283,44.59525637337484,45.529117584228516,4848400,0.0,0.0
1999-03-19,46.12461798099427,46.12461798099427,44.338101087364215,44.365169525146484,7160400,0.0,0.0
1999-03-22,44.55465856107979,44.66293233644086,43.74260524587177,43.82381057739258,5024800,0.0,0.0
1999-03-23,43.58018403779835,43.742594661541695,42.19969373597989,42.28089904785156,10962400,0.0,0.0
1999-03-24,42.659857517868375,43.742595018321886,42.010215017596266,43.71552658081055,8447000,0.0,0.0
1999-03-25,44.392256651300684,45.312583923339844,44.10127082264125,45.312583923339844,8133800,0.0,0.0
1999-03-26,44.93360639194359,45.44790670606825,44.635853578503,44.82533264160156,8256200,0.0,0.0
1999-03-29,45.36672110212989,46.47652752527268,45.09603660868042,46.449459075927734,5113800,0.0,0.0
1999-03-30,46.39531825965559,46.77427651848591,45.93515465964734,46.1246337890625,4940600,0.0,0.0
1999-03-31,46.88254941993699,46.936686313031615,45.31257952019315,45.44792175292969,8256600,0.0,0.0
1999-04-01,46.77425225167736,46.82838911770939,45.63737806500465,46.395294189453125,8715800,0.0,0.0
1999-04-05,47.146464556724105,48.141229920559105,46.85547877002407,48.07355880737305,5697200,0.0,0.0
1999-04-06,48.019416566845,48.69612762331125,47.61338993296525,48.16829299926758,7522400,0.0,0.0
1999-04-07,48.614917822279494,48.723191581349155,46.63892171925811,47.66752243041992,11923600,0.0,0.0
1999-04-08,47.58631859577877,48.27656383138307,46.61185473374917,48.04648208618164,7952400,0.0,0.0
1999-04-09,47.965276301641346,48.45250822795598,47.829934099887275,48.344234466552734,4946800,0.0,0.0
1999-04-12,47.20736353722608,48.34423811782442,47.153226652435684,48.01941680908203,10934000,0.0,0.0
1999-04-13,48.31717323303222,48.42544701058524,46.990819458007806,47.36977767944336,9962200,0.0,0.0
1999-04-14,47.96529472396218,48.0194316254565,45.48176436791053,45.74568176269531,21253800,0.0,0.0
1999-04-15,45.90808818080032,46.442690033141595,44.283981287611624,46.36825180053711,17650600,0.0,0.0
1999-04-16,46.25998022064558,46.25998022064558,44.77121549733633,45.01483154296875,17274000,0.0,0.0
1999-04-19,45.3125799233229,45.691538178356666,42.450091675478575,42.90348815917969,19460600,0.0,0.0
1999-04-20,42.713987073951266,44.229819314851945,42.30796058085287,43.8779296875,17413600,0.0,0.0
1999-04-21,44.28396652194768,46.07048350877442,43.688460859672105,46.04341506958008,10940400,0.0,0.0
1999-04-22,46.476509607377295,47.423904969205026,46.171989669646955,47.2885627746582,13630600,0.0,0.0
1999-04-23,47.04495782367253,48.263037859383275,46.55772580938824,47.91114807128906,7064400,0.0,0.0
1999-04-26,48.23596155592442,49.37283607071051,48.080318021162036,49.01417922973633,5421000,0.0,0.0
